Job Title,Job Company,Job Location,Job Type,Job Pay,Job Excerpt
Social Worker - COVID-19 Contact Tracing Program (Remote Pos...,AM LLC,Alaska,Remote,Pay details not available,"

AM Trace has an immediate opening for a Social Worker to support state and local COVID-19 Contact Tracing programs.
Collect and record information to the CRM.
"
Disease Intervention Technician I_Contact Tracing,Berrien County Health Department,"Benton Harbor, MI 49022",Not remote,$18.86 an hour,"

Complete all required training for making calls and contacts with community members and for use of contact tracing databases and tracking systems.
"
Contact Tracing Coordinator,Chester County of Pennsylvania,"Westtown, PA",Not remote,"$55,933 a year","

Create and monitor contact tracing reporting metrics.
The Coordinator is responsible for overseeing a team of 10-20 contact tracers, to include training,…
"
"Physicians, Nurses, Pharmacists and Multiple Health Care pos...",CEDENT,"Sugar Land, TX",Not remote,Pay details not available,"

Jobs may require hours that may exceed 8 hours per day during times of peak activity.
Part time positions / evening positions / Weekend positions available.
"
Case Investigator - COVID-19 Contact Tracing Program (Remote...,AM LLC,Missouri,Remote,Pay details not available,"

Supervise a team of contact tracers.
Maintain daily contact with the Case Navigator.
Triage and coordinate next steps for isolation for cases and quarantine for…
"
TEMPORARY - Community Health Worker – COVID Outreach Initiat...,East Valley Community Health C,"Pomona, CA 91766",Not remote,Pay details not available,"

Advises clients and others regarding health care and other facilities available to them; assists patients in utilizing services; makes follow up contact when…
"
Contact Tracer Program Assistant Manager,Southern Seven Health Department,"Ullin, IL 62992",Not remote,Pay details not available,"

This position does come with aÂ benefit package, including vacation,Â personal, and sick time accrual, holidays, health and life insurance, and an employer…
"
Contact Tracer Program Manager,Master East Side Health District,"East Saint Louis, IL 62205",Not remote,Pay details not available,"

Prior experience in contact tracing.
Communicate with contacts in a professional and empathetic manner.
Maintain contact with Contact Tracer Supervisor &/or…
"
"Data Analyst, Facility Investigations (City Research Scienti...",NYC Health + Hospitals,"New York, NY",Not remote,Pay details not available,"

Ensuring data are correctly entered and imported into Maven, NYC DOHMH’s Bureau of Communicable Disease database, and developing materials for reporting needs,…
"
Health & Safety Manager (Contract),Justworks,"New York, NY 10001 (Chelsea area)",Not remote,Pay details not available,"

Identify and create metrics and tools for measuring the performance and impact of COVID-19 prevention interventions (e.g. testing, contact tracing, isolation…
"
Technology Programs Manager - COVID-19 Contact Tracing Progr...,AM LLC,Remote,Not remote,Pay details not available,"

AM Trace has an immediate opening for a full time Technology Program Manager to support state and local COVID-19 Contact Tracing nationwide.
"
2021 Ozaukee Public Health Dept. Covid-19 Response VISTA,AmeriCorps,Wisconsin,Not remote,Pay details not available,"

Also, create and distribute materials on public health issues unrelated to COVID-19, 2) Expand the capacity of WOPHD to relay scientific and evidence-based…
"
Case Investigator - COVID-19 Contact Tracing Program (Remote...,AM LLC,Wisconsin,Remote,Pay details not available,"

Supervise a team of contact tracers.
Maintain daily contact with the Case Navigator.
Triage and coordinate next steps for isolation for cases and quarantine for…
"
Case Investigator - COVID 19,University of MO-Columbia,"Columbia, MO",Temporarily remote,$20 an hour,"

Indirectly supervise and manage a staff of lead contact tracers and contact tracers; typically 12 staff members.
This position will need to work remotely.
"
Public Health Contact Tracer,Oakton Community College,"Des Plaines, IL 60016",Not remote,Pay details not available,"

Course provides an introduction to contact tracing management and organization.
Students will be able to identify critical resources and guidelines to support…
"
Public Health Data Analyst,Public Health Institute,"Clark County, WA",Remote,Pay details not available,"

Prior experience in contact tracing.
Position Title: Public Health Data Analyst.
The Data Analyst will perform complex technical and analytical work in the…
"
COVID-19 Investigator,Butler County General Health District,"Hamilton, OH 45011",Temporarily remote,Pay details not available,"

Interviews clients/agencies to obtain information about contacts, relevant health co-morbidities, exposure settings, etc. as it relates to COVID-19…
"
"RESULTS NOTIFICATION SPECIALIST, University Health Services,...",Boston University,"Boston, MA 02215 (Kenmore area)",Remote,Pay details not available,"

Under the combined leadership of Student Health Services and Occupational Health exemplary candidates will act as patient advocates providing education and…
"
COVID-19 Case Investigator - Temporary Full Time,Mesa County,"Grand Junction, CO",Not remote,$15.82 an hour,"

Document case investigation and contact follow-up according to current procedure.
Willingness to learn how to conduct case investigation and contact tracing.
"
Contact Tracers,Warren County Ohio,"Lebanon, OH 45036",Not remote,$13.24 - $16.56 an hour,"

Tracing/identification of close contacts of probable cases of COVID-19.
This posting is for temporary postion (s) to assist Warren County Health District with.
"
"PART-TIME WEEKEND TELEPHONE TRIAGE HEALTHCARE SPECIALIST, Un...",Boston University,"Boston, MA 02215 (Kenmore area)",Not remote,Pay details not available,"

Under the combined leadership of Student Health Services and Occupational Health exemplary candidates will act as patient advocates providing education and…
"
Investigator,MAXIMUS,"Brownsville, TX 78521",Not remote,Pay details not available,"

C.Identify close primary contacts.
V.Willingness to support contact tracing using technology.
General Activities: Trace and monitor contacts of persons with…
"
"211 Customer Service Representative, Contact Tracing","Crisis Response Network, Inc.","Tempe, AZ 85281",Not remote,Pay details not available,"

Additionally, in that short timeframe, CRN has grown to expand services to a peer-run Warm Line, Serious Mental Illness (SMI) determinations, mobile team…
"
Specialist III - EPI Lead for Contact Tracing Program (Tempo...,Sam Houston State University,"Houston, TX",Remote,"$2,880 a month","

Leads a team of case investigators and contact tracers.
Experience performing public health contact tracing functions preferred.
Full Time Part Time Full Time.
"
Casual Client Service Support (COVID-19 Contact Tracing),Comprehensive Health Serv,"Cape Canaveral, FL 32920",Not remote,$13.69 an hour,"

This position is on a casual or as needed schedule.
The primary focus of this position will be to be a member of the COVID-19 Contact Tracing Team to handle…
"
Case Navigator - COVID-19 Contact Tracing Program (Remote Po...,AM LLC,Utah,Remote,Pay details not available,"

Track daily and weekly progress for the unit, including cases contacted successfully, contacts tracked and referred, and patients and contacts referred to…
"
Medical Assistant/Public Health Associate-COVID-19 Response...,DeKalb County Health Department,"DeKalb, IL 60115",Not remote,"$33,700 - $35,300 a year","

The DeKalb County Health Department is seeking a full-time (37.5 hours per week) Public Health Associate.
Assists with disease investigations and surveillance…
"
Program Service Aide (Community Health Worker – Contact Trac...,University of Illinois at Chicago,"Chicago, IL 60607 (University Village - Little Italy area)",Not remote,Pay details not available,"

Tracers will help obtain symptom information; refer contacts for testing and/or supportive services; provide instructions for self-quarantine; and obtain…
"
Contact Tracer - Bilingual Marshallese Preferred,Public Consulting Group,"Little Rock, AR 72201",Temporarily remote,Pay details not available,"

Adheres to contact center scheduling, ensures telephone coverage during contact center hours of operation.
Call contacts of newly diagnosed cases.
"
Community Health Worker - Temporary (6 months),Hispanic Health Council,"Hartford, CT 06106",Not remote,Pay details not available,"

You ill work with community partners on project-related outreach, engagement, recruitment activities, and will implement community-based education.
"
Case Investigators,Texas A&M University,"College Station, TX 77840",Not remote,Pay details not available,"

Under the supervision of the Epidemiology team lead, along with Faculty supervisor and Brazos County Health Department epidemiology lead, the Case Investigator…
"
Contact Tracer (Spanish Speaking) - COVID-19 Contact Tracing...,AM LLC,Texas,Remote,Pay details not available,"

Call contacts of newly-diagnosed patients.
Communicate with contacts in a professional and empathetic manner.
College degree or equivalent required.
"
"COVID-19 CASE INVESTIGATOR, - ACHN MOBILE TESTING UNIT",Cook County Health & Hospitals System,"Chicago, IL",Not remote,Pay details not available,"

Assigns contacts to COVID-19 Contact Tracers on their team to conduct contact tracing.
Collects information on all immediate household contacts to monitor for…
"
Senior Family Service Aide - COVID-19 Contact Tracing Progra...,AM Trace,Remote,Not remote,Pay details not available,"

Maintain daily contact with the supervisor.
Call contacts of newly-diagnosed patients.
Communicate with contacts in a professional and empathetic manner.
"
"COVID-19 CASE INVESTIGATOR, - ACHN MOBILE TESTING UNIT",Cook County Health & Hospitals System,"Chicago, IL",Not remote,Pay details not available,"

Assigns contacts to COVID-19 Contact Tracers on their team to conduct contact tracing.
Collects information on all immediate household contacts to monitor for…
"
Senior Family Service Aide - COVID-19 Contact Tracing Progra...,AM Trace,Remote,Not remote,Pay details not available,"

Maintain daily contact with the supervisor.
Call contacts of newly-diagnosed patients.
Communicate with contacts in a professional and empathetic manner.
"
Community Health Worker,Charlotte Community Health Clinic,"Charlotte, NC 28262 (University City North area)",Not remote,Pay details not available,"

Collaborate with Mecklenburg County Health Department (MCHD) on case investigation and contact tracing efforts for positive CCHC patients (existing and new).
"
Public Health Programs Contact Tracer and Resource Coordinat...,Knox Community Health Center,"Galesburg, IL 61401",Not remote,Pay details not available,"

Provide contacts with information about how to separate themselves from others.
Assist patients in recalling individuals with whom they have had close contact.
"
Contact Tracer,Utah State University,"Logan, UT 84322 (Hillcrest area)",Not remote,$15 an hour,"

Coordinate contact tracing efforts with supervisor and/or team leads.
Contact individuals who have been infected with a disease, identify close contacts that…
"
Health Services Coordinator,Randolph Public School District,"Randolph, MA 02368",Not remote,"Up to $95,000 a year","

Coordinates the districts preliminary contact tracing programs and compiles statistics on individual cases.
The coordinator supervises and clinically evaluates…
"
Public Health Advisor,Caduceus,"San Juan, PR",Remote,Pay details not available,"

Consult with patients using contact tracing and keep detailed records to provide to the public health department.
Job Types: Full-time, Part-time.
"
Manager of Contact Tracing,Howard Brown Health Center,"Chicago, IL 60613 (Buena Park area)",Not remote,Pay details not available,"

Participate in and complete required contact tracing training, including SARSCOVID-.
Manage work flow tracker, ensuring that patients are interviewed and…
"
"FULL-TIME COVID-19 COLLECTION SITE SERVICE SPECIALIST, Unive...",Boston University,"Boston, MA 02215 (Kenmore area)",Not remote,Pay details not available,"

Under the combined leadership of Student Health Services and Occupational Health exemplary candidates will act as patient advocates providing education and…
"
Contact Tracing Community Health Specialist,Asian Health Services,"Oakland, CA",Not remote,Pay details not available,"

Case investigation* and contact tracing are fundamental activities that involve working with a patient (symptomatic and asymptomatic) who has been diagnosed…
"
"Contact Tracer (PRN - ""AS NEEDED"")- JHHS Healthcare Epidemio...",Johns Hopkins Hospital,"Baltimore, MD 21201 (Downtown area)",Not remote,Pay details not available,"

The ICAN Contact Tracer works within the JHHS Department of Healthcare Epidemiology and Infection Control by conducting interviews with COVID-19 positive…
"
Contact Tracer (Community Setting),Southern Seven Health Department,"Ullin, IL 62992",Not remote,Pay details not available,"

Refer contacts for testing according to procedures.
This position does come with aÂ benefit package (dependent on the schedule you choose)including vacation,Â…
"
Health and Wellness Administrative Coordinator,VSE Careers,"Fort Benning, GA 31905",Not remote,Pay details not available,"

Develops and implements VS2 COVID-19 contact tracing plans and protocol as required.
Internal contacts include risk management personnel, Health and Safety…
"
Contact Tracer Supervisor,Master East Side Health District,"East Saint Louis, IL 62205",Not remote,Pay details not available,"

5 years’ experience managing in a contact center or similar environment.
IDPH and ESHD are organizing teams of community contact tracing staff across St Clair…
"
"Health & Safety Coordinator, Temporary (December - May)",IMG Academy,"Bradenton, FL",Not remote,Pay details not available,"

Partner with HR and assist with employee related COVID-19 items and issues- including contact tracing efforts.
Strong PC Skills in MS Office.
"
Case Navigator - COVID-19 Contact Tracing Program (Remote Po...,AM LLC,Wisconsin,Remote,Pay details not available,"

Track daily and weekly progress for the unit, including cases contacted successfully, contacts tracked and referred, and patients and contacts referred to…
"
Community Health Worker - Temporary (6 months),Hispanic Health Council,"Hartford, CT 06106",Not remote,Pay details not available,"

You ill work with community partners on project-related outreach, engagement, recruitment activities, and will implement community-based education.
"
Community Health Contact Tracer,Latino Network,"Portland, OR 97232 (Kerns area)",Temporarily remote,"$39,520 - $45,760 a year","

Wraparound supports for individuals who test positive or are close contacts:
Classification: Full time,-Non-Exempt, 1.0 FTE, temporary through the end of June…
"
Health Program Specialist I/II/III - Limited Term,County of Colusa,"Colusa, CA 95932",Not remote,"$3,663 - $5,724 a month","

The second Health Program Specialist will be responsible for the overall management of COVID functions, which include: Ensuring there is timely follow-up on…
"
PUBLIC HEALTH EMERGENCY SUPPORT WORKER (WAE RELIEF WORKER),State of Louisiana,Louisiana,Not remote,Pay details not available,"

The PHESW also provides assistance to the public health appointing authority coordinate information relative to key initiatives such as testing and contact…
"
Community Health Educator,Madison County Public Health Office,"London, OH 43140",Not remote,Pay details not available,"

The Community Health Educator (CHE) is responsible for coordinating, implementing, reporting, and evaluating health education programs, communicating public…
"
Population Health Supervisor,Chester County of Pennsylvania,"Westtown, PA",Not remote,"$61,314 a year","

The Disease Investigation and Surveillance Supervisor is responsible for directing the work of multiple program areas, including disease investigation, disease…
"
"COVID-19 CASE INVESTIGATOR, - ACHN MOBILE TESTING UNIT",Cook County Health & Hospitals System,"Chicago, IL",Not remote,Pay details not available,"

Assigns contacts to COVID-19 Contact Tracers on their team to conduct contact tracing.
Collects information on all immediate household contacts to monitor for…
"
Health & Safety Manager (Contract),Justworks,"New York, NY 10001 (Chelsea area)",Not remote,Pay details not available,"

Identify and create metrics and tools for measuring the performance and impact of COVID-19 prevention interventions (e.g. testing, contact tracing, isolation…
"
COVID-19 Investigator,Butler County General Health District,"Hamilton, OH 45011",Temporarily remote,Pay details not available,"

Interviews clients/agencies to obtain information about contacts, relevant health co-morbidities, exposure settings, etc. as it relates to COVID-19…
"
Contact Tracer - COVID-19 (Health Services),Shelby County Government,"Memphis, TN",Not remote,Pay details not available,"

Conducts investigation of persons diagnosed with or having contact to COVID-19.
Three (3) years of experience in customer service, health services, education,…
"
Temp. Health Educator 3,"Marion County, OR","Salem, OR",Not remote,$24.50 - $32.84 an hour,"

Call contacts of newly diagnosed patients.
Communicate with contacts in a professional and empathetic manner.
Collect and record information on symptoms.
"
"Contact Tracer, Enforcement Facility Inspector - COVID-19 (H...",Shelby County Government,"Memphis, TN",Not remote,Pay details not available,"

Two (2) years of experience in a public health, investigation, nursing or related field; and.
Bachelor's degree from an accredited college or university in…
"
Seasonal HR Health Coordinator,Harry & David,"Medford, OR 97501",Not remote,Pay details not available,"

Assist in contact tracing when necessary for employees who may be out with Covid-19 symptoms.
The Seasonal HR Health Coordinator assists the employee relations…
"
Limited Term Public Health Department Assistant,County of Iowa,"Dodgeville, WI",Not remote,$14.90 an hour,"

Duties may include but are not limited to providing help with contact tracing, and other non-nursing support for the Public Health Department.
"
"Coordinator, Contact Tracing",Heartland Health Centers,"Chicago, IL 60657 (Lake View area)",Not remote,"$54,000 - $62,000 a year","

Oversees contact tracing training and education for contact tracing staff.
Oversees the contact tracing program, required reporting, and manages contact tracing…
"
Contact Tracing Program Manager,La Salle University,"Philadelphia, PA 19141 (Logan area)",Not remote,Pay details not available,"

Track training for all team leads and contact tracers.
Evaluate and approve the external training platform(s) used to train team leads and contact tracers.
"
"FULL-TIME COVID-19 COLLECTION SITE SERVICE SPECIALIST, Unive...",Boston University,"Boston, MA 02215 (Kenmore area)",Not remote,Pay details not available,"

Under the combined leadership of Student Health Services and Occupational Health exemplary candidates will act as patient advocates providing education and…
"
Disease Intervention Technician I_Contact Tracing,Berrien County Health Department,"Benton Harbor, MI 49022",Not remote,$18.86 an hour,"

Complete all required training for making calls and contacts with community members and for use of contact tracing databases and tracking systems.
"
Quarantine Center Program Manager - COVID-19 Contact Tracing...,AM LLC,Alaska,Remote,Pay details not available,"

AM Trace has immediate openings for a Quarantine Center Program Manager to support state and local efforts to fight COVID-19.
Supervise a team of Site Managers.
"
Faculty/Staff Contact Tracing Operations Co-Leads,University of Pennsylvania,"Philadelphia, PA 19104 (University City area)",Not remote,Pay details not available,"

The Operations Co-Leads will manage a team of lead case investigators/contact tracers, case investigators, and contact tracers in order to rapidly identify and…
"
Health Planning Administrator 2 (PN: 20014945),State of Ohio Jobs,"Columbus, OH 43215 (Downtown area)",Not remote,$31.76 an hour,"

Monitors and evaluates spending by subrecipient agencies and assists in preparing budget estimates; assists in assessing the success of the subrecipients in…
"
Case Navigator - COVID-19 Contact Tracing (Remote - Wisconsi...,AM Trace,Remote,Not remote,Pay details not available,"

Track daily and weekly progress for the unit, including cases contacted successfully, contacts tracked and referred, and patients and contacts referred to…
"
Public Health Programs Contact Tracer and Resource Coordinat...,Knox Community Health Center,"Galesburg, IL 61401",Not remote,Pay details not available,"

Provide contacts with information about how to separate themselves from others.
Assist patients in recalling individuals with whom they have had close contact.
"
Manager of Contact Tracing,Howard Brown Health Center,"Chicago, IL 60613 (Buena Park area)",Not remote,Pay details not available,"

Participate in and complete required contact tracing training, including SARSCOVID-.
Manage work flow tracker, ensuring that patients are interviewed and…
"
Employee Health Assistant PER DIEM,Jefferson Healthcare,"Port Townsend, WA 98368",Not remote,Pay details not available,"

Performs COVID-19 exposure contact tracing investigations and tracking per state and federal guidelines, and Jefferson Healthcare policies.
"
Contact Tracer (Community Setting),Southern Seven Health Department,"Ullin, IL 62992",Not remote,Pay details not available,"

Refer contacts for testing according to procedures.
This position does come with aÂ benefit package (dependent on the schedule you choose)including vacation,Â…
"
"Manager, Facility Health and Safety",Eaze Solutions Inc.,"San Francisco Bay Area, CA",Not remote,Pay details not available,"

Lead COVID-19 execution response to ensure facilities are clean and conduct contact tracing when necessary.
You will oversee Facility Health & Safety, reporting…
"
Contact Tracing Lead,Heluna Health,"San Jose, CA",Not remote,Pay details not available,"

Conducts field investigations and gathers data through interviews with contacts, suspects, and cases suspected of or having been in contact with a communicable…
"
Contact Tracing Community Health Specialist,Asian Health Services,"Oakland, CA",Not remote,Pay details not available,"

Case investigation* and contact tracing are fundamental activities that involve working with a patient (symptomatic and asymptomatic) who has been diagnosed…
"
Bilingual Vocational Assistant (Contact Tracer) - Extra Help,County of Colusa,"Colusa, CA 95932",Not remote,$14.29 an hour,"

Conduct telephone calls with persons diagnosed with COVID-19 and trace contacts exposed to COVID-19; maintain ongoing communication with every contact.
"
Health Services Support Specialist (HSSS),Lynchburg City Schools,"Lynchburg, VA 24504",Not remote,"From $27,000 a year","

Responsible for contact tracing for the division during the COVID-19 pandemic.
The HSSS will maintain ongoing communication with contacts to assess symptoms,…
"
Contact Tracing Supervisor - COVID-19 Response,Thurston County,"Olympia, WA 98502",Not remote,$34 an hour,"

The Contact Tracing Supervisor works to direct, supervise and train the work of the Investigation and Contact Tracing team and coordinate efforts with community…
"
Case Navigator - COVID-19 Contact Tracing Program (Remote Po...,AM LLC,Wisconsin,Remote,Pay details not available,"

Track daily and weekly progress for the unit, including cases contacted successfully, contacts tracked and referred, and patients and contacts referred to…
"
"Manager, Facility Health and Safety",Eaze Solutions Inc.,"San Francisco Bay Area, CA",Not remote,Pay details not available,"

Lead COVID-19 execution response to ensure facilities are clean and conduct contact tracing when necessary.
You will oversee Facility Health & Safety, reporting…
"
Program Manager - Contact Tracing Initiative - SPH - San Ant...,The University of Texas Health Science Center at H...,"San Antonio, TX",Not remote,Pay details not available,"

Develops, plans and manages all activities of the COVID-19 contact tracing program at the San Antonio campus of UTHealth School of Public Health.
"
COVID Contact Tracing LVN,Dallam-Hartley Counties Hospital District,"Dalhart, TX 79022",Not remote,Pay details not available,"

Work closely with Dr. Turner and nurse to trace COVID contact in the community.
Graduate of an accredited School of Vocational Nursing required.
"
Population Health Supervisor,Chester County of Pennsylvania,"Westtown, PA",Not remote,"$61,314 a year","

The Disease Investigation and Surveillance Supervisor is responsible for directing the work of multiple program areas, including disease investigation, disease…
"
Quarantine Center Program Manager - COVID-19 Contact Tracing...,AM LLC,Alaska,Remote,Pay details not available,"

AM Trace has immediate openings for a Quarantine Center Program Manager to support state and local efforts to fight COVID-19.
Supervise a team of Site Managers.
"
Health Planning Administrator 2 (PN: 20014945),State of Ohio Jobs,"Columbus, OH 43215 (Downtown area)",Not remote,$31.76 an hour,"

Monitors and evaluates spending by subrecipient agencies and assists in preparing budget estimates; assists in assessing the success of the subrecipients in…
"
Contact Tracing Clinical Project Director - Epidemiologist 3,WV DHHR - Office of Epidemiology and Prevention Se...,"Charleston, WV 25301 (Downtown area)",Not remote,"From $74,490 a year","

Responsible for the direction and management of specific projects from a clinical and operational perspective focused on areas such as testing, training, case…
"
"LPN II, Contact Tracer",Eastern Virginia Medical School,"Norfolk, VA 23507 (Ghent area)",Not remote,Pay details not available,"

Providing contacts with regulated information on isolation and quarantine procedures.
Contact Tracing – Notifying close contacts of their potential exposure,…
"
MA- Medical Assistant- Employee Health- Columbine Health Sys...,Columbine Health Systems,"Fort Collins, CO 80526",Not remote,Pay details not available,"

Our employees who work 24+ hours per week qualify for a full range of benefits including health insurance, vision, dental, a 401(k) plan, paid time off (PTO),…
"
Contact Tracing/Lunch Room Assistant,Warsaw Community Schools,"Warsaw, IN 46580",Not remote,Pay details not available,"
CONTACT TRACING/LUNCH ROOM ASSISTANT Job Description Primary Location Warsaw Community High School Salary Range Per Hour Shift Type Part…"
Contractual Community Health Nurse II (COVID-19),St. Mary's County Health Department,"Waldorf, MD",Not remote,$23.96 - $30.51 an hour,"

This position is responsible for participating in and coordinating investigations and contact tracing of infectious diseases.
"
Contractual Community Health Nurse II (COVID-19),St. Mary's County Health Department,"Waldorf, MD",Not remote,$23.96 - $30.51 an hour,"

This position is responsible for participating in and coordinating investigations and contact tracing of infectious diseases.
"
COVID - Resource Navigator - Case Investigation/Contact Trac...,LifeLong Medical Care,"Berkeley, CA 94710",Remote,Pay details not available,"

LifeLong Medical Care, in partnership with the Alameda County Public Health Department and Contra Costa Health Services, is searching for a temporary Resource…
"
Public Health Technician (TEMP),City of Corpus Christi,"Corpus Christi, TX",Not remote,$12.77 an hour,"

Conduct contact tracing investigations identifying potential close contacts of confirmed COVID-19 cases.
Encourage contacts to self-quarantine and self-monitor…
"
COPE Contact Tracing Program Administrator,Partners In Health,"Gallup, NM",Not remote,Pay details not available,"

The COPE Contact Tracing team will be comprised of up to 80 staff, including a Program Manager, Project Coordinator, seven supervisors, up to 40 full time…
"
Contact Tracing Program Manager,La Salle University,"Philadelphia, PA 19141 (Logan area)",Not remote,Pay details not available,"

Track training for all team leads and contact tracers.
Evaluate and approve the external training platform(s) used to train team leads and contact tracers.
"
Health and Safety Coordinator,Jacob A. Riis Neighborhood Settlement,"Long Island City, NY",Not remote,Pay details not available,"

Collect and record all information regarding symptoms and dates of onset, as well as contacts (individuals with the individual may have been in direct face-to…
"
HR Specialist - COVID-19 Contact Tracing Program (Remote Pos...,AM LLC,California,Remote,Pay details not available,"

AM Trace has an immediate opening for a HR Specialist to support state and local COVID-19 Contact Tracing programs.
"
Environmental Health Practitioner COVID-19,DeKalb County Health Department,"DeKalb, IL 60115",Not remote,"$41,500 - $47,000 a year","

The DeKalb County Health Department is seeking a full-time (37.5 hours per week) Environmental Health Practitioner (EHP).
LEHP or LEHP in training preferred.
"
Disease Intervention Technician II - Health Department,"Grand Traverse County, MI","Traverse City, MI",Not remote,$20.90 - $26.13 an hour,"

Complete all required training for making calls and contacts with community members and for use of contact tracing databases and tracking systems.
"
Case Navigator - COVID-19 Contact Tracing Program (Remote -...,AM Trace,Remote,Not remote,Pay details not available,"

Track daily and weekly progress for the unit, including cases contacted successfully, contacts tracked and referred, and patients and contacts referred to…
"
Health Educator,Caduceus,Puerto Rico,Remote,Pay details not available,"

Consult with patients using contact tracing and keep detailed records to provide to the public health department.
"
Public Health Response Specialist,Northeast Colorado Health Department,"Sterling, CO 80751",Not remote,$17 - $19 an hour,"

Primary responsibilities will include conducting case investigations, contact tracing, rotating for weekend on-call response to contact new cases within 24…
"
Health Program Specialist I/II/III - Limited Term,County of Colusa,"Colusa, CA 95932",Not remote,"$3,663 - $5,724 a month","

The second Health Program Specialist will be responsible for the overall management of COVID functions, which include: Ensuring there is timely follow-up on…
"
Public Health Nurse- COVID-19 Contact Tracing Program (Ancho...,AM Trace,Remote,Not remote,Pay details not available,"

Call, text, and/or email case or contacts on prescribed frequency (as much as 2x a day to in some cases every 3 days) to check/inquire about COVID-19 symptoms…
"
Temp. Health Educator 3,"Marion County, OR","Salem, OR",Not remote,$24.50 - $32.84 an hour,"

Call contacts of newly diagnosed patients.
Communicate with contacts in a professional and empathetic manner.
Collect and record information on symptoms.
"
Contact Tracing Lead- Epidemiologist 2,WV DHHR - Office of Epidemiology and Prevention Se...,"Charleston, WV 25301 (Downtown area)",Not remote,"From $60,097 a year","

They will identify opportunities to enhance performance of contact tracers and identify and communicate strategic lessons learned and best practices to promote…
"
"Health Scientist - Epidemiologist - Denver, CO",CENTER FOR TOXICOLOGY AND ENVIRONMENTAL HEALTH LLC,"Denver, CO",Not remote,Pay details not available,"

COVID-19 epidemiology experience including tracking pandemic indicators, contact tracing, protocol writing, survey writing, and COVID -19 testing;
"
COORDINATOR CONTACT TRACING HR,Fort Bend Independent School District,"Sugar Land, TX",Not remote,Pay details not available,"

The Coordinator Contact Tracing will support the District's contact tracing process of interviewing those who have tested positive for the virus, determining…
"
COVID-19 Investigator-Supervisor,Salud Para La Gente,"Watsonville, CA 95076",Not remote,Pay details not available,"

Assists with triage and coordination of next steps for isolation for cases, and quarantine for individuals with whom the C+ person has been in contact.
"
COVID-19 Health and Safety Liaison,Hartford Public Schools,"Hartford, CT 06103 (Downtown area)",Not remote,"$70,000 a year","

Conducts contact tracing for HPS staff per CDC, state and local health department guidelines.
Reports to: Hartford Public Schools Co-Covid-19 Compliance…
"
Contact Tracer (Spanish Speaking) - COVID-19 Contact Tracing...,AM LLC,Wisconsin,Remote,Pay details not available,"

Call contacts of newly-diagnosed patients.
Communicate with contacts in a professional and empathetic manner.
College degree or equivalent required.
"
"Contact Tracer RN, Infection Control",Carilion Clinic,"Roanoke, VA 24014 (South Roanoke area)",Not remote,Pay details not available,"

Education: Minimum requirement graduate from an accredited nursing program (ASN), BSN preferred.
"
Partner Coordinator - Health Department,"City of Baltimore, MD","Baltimore, MD",Not remote,"$62,171 a year","

Maintain communication with partners and ensure contact tracing follows health department policies.
Communicate with local partners to recruit, establish, and…
"
Care Coordination Associate - Health Department,"City of Baltimore, MD","Baltimore, MD",Not remote,"$39,000 a year","

Applicants who are hired for this position will undergo training that allows them to learn the fundamental principles of becoming a community health worker in…
"
Project Director - Health Department,"City of Baltimore, MD","Baltimore, MD",Not remote,"$80,000 a year","

Oversee the overall tracking metrics reported from CHW Managers including cases contacted successfully, contacts tracked and referred, and patients and contacts…
"
Case Investigator Supervisor,Seer Solutions Inc.,"Anchorage, AK",Temporarily remote,$30 - $35 an hour,"

MUST HAVE HIGH SPEED INTERNET, OWN PC with Windows 10 or higer & CELLPHONE .
Job Title: Tier III Case Investigator Supervisor .
"
Med/Surg RN or Occupational Health RN - 38hr/week,Access Nursing Services,"New York, NY",Not remote,Pay details not available,"

You must be comfortable making independent decisions based off of symptoms described.
Varied Schedule Hours 8:00am to 6:00pm.
"
Public Health Specialist (Surveillance Program),Southern Plains Tribal Health Board Foundation,"Oklahoma City, OK 73114",Not remote,Pay details not available,"

The Public Health Specialist is responsible for reaching out to people (contacts) who have been exposed to COVID-19 and providing health education and guidance…
"
SCPPE HLS and Public Health Product Architect,Salesforce,"Chicago, IL",Remote,Pay details not available,"

Provide design expertise and make recommendations to a State, government entity for their contact tracing and vaccine management needs for its citizens;
"
Community Health Worker II - Bilingual (English/Spanish),County of Sonoma,"Santa Rosa, CA 95404",Not remote,$20.20 - $24.55 an hour ++,"

Work schedule will be set by the supervisor and the contact tracer based on availability and need.
Referring clinical questions to contact tracing lead; and…
"
"COVID Testing, Symptom Management and Contact Tracing Manage...",Deaconess Abundant Life Communities,"Concord, MA",Not remote,Pay details not available,"

Serves as the main point of contact for results and scheduling of appointments.
Collaborates with Leadership teams when positive results are identified,…
"
Public Health Data Manager (Interoperability Team),Heluna Health,"Richmond, CA",Not remote,Pay details not available,"

Serve as a CalREDIE point of contact to ensure data is generated, exchanged, managed and available between systems and is accessible to epidemiologists, case…
"
Case Investigator - Covid 19,Saginaw County,"Saginaw, MI 48602",Not remote,Pay details not available,"

Works closely with Contact Tracing team and refers close contacts for quarantine and monitoring.
Essential Functions• Investigates reported COVID-19 cases by…
"
